Nigeria,58,,,,,,,,
Niue,-,,,,,,,,
Norway,-,,,,,,,,
Oman,98,,,,,,,,
Pakistan,62,,,,,,,,
Palau,100,,,,,,,,
Panama,97,,,,,,,,
Papua New Guinea,77,,,,,,,,
Paraguay,99,,,,,,,,
Peru,99,,,,,,,,
Philippines,98,,,,,,,,
Poland,100,,,,,,,,
Portugal,99,,,,,,,,
Qatar,98,,,,,,,,
Republic of Korea,-,,,,,,,,
Republic of Moldova,100,,,,,,,,
Romania,99,,,,,,,,
Russian Federation,100,,,,,,,,
Rwanda,78,,,,,,,,
Saint Kitts and Nevis,-,,,,,,,,
Saint Lucia,-,,,,,,,,
Saint Vincent and the Grenadines,-,,,,,,,,
Samoa,99,,,,,,,,
San Marino,-,,,,,,,,
Sao Tome and Principe,77,,,,,,,,
Saudi Arabia,99,,,,,,,,
Senegal,59,,,,,,,,
Serbia,99,,,,,,,,
Seychelles,99,,,,,,,,
Sierra Leone,56,,,,,,,,
Singapore,100,,,,,,,,
Slovakia,-,,,,,,,,
Slovenia,100,,,,,,,,
Solomon Islands,-,,,,,,,,
Somalia,-,,,,,,,,
South Africa,99,,,,,,,,
South Sudan,30,,,,,,,,
Spain,100,,,,,,,,
Sri Lanka,99,,,,,,,,
State of Palestine,99,,,,,,,,
Sudan,86,,,,,,,,
Suriname,99,,,,,,,,
Swaziland,95,,,,,,,,
Sweden,-,,,,,,,,
Switzerland,-,,,,,,,,
Syrian Arab Republic,95,,,,,,,,
Tajikistan,100,,,,,,,,
Thailand,97,,,,,,,,
The former Yugoslav Republic of Macedonia,98,,,,,,,,
Timor-Leste,79,,,,,,,,
Togo,73,,,,,,,,
Tonga,100,,,,,,,,
Trinidad and Tobago,100,,,,,,,,
Tunisia,96,,,,,,,,
Turkey,97,,,,,,,,
Turkmenistan,100,,,,,,,,
Tuvalu,-,,,,,,,,
Uganda,85,,,,,,,,
Ukraine,100,,,,,,,,
United Arab Emirates,97,,,,,,,,
United Kingdom,-,,,,,,,,
United Republic of Tanzania,73,,,,,,,,
United States,-,,,,,,,,
Uruguay,99,,,,,,,,
Uzbekistan,100,,,,,,,,
Vanuatu,95,,,,,,,,
Venezuela (Bolivarian Republic of),98,,,,,,,,
Viet Nam,97,,,,,,,,
Yemen,80,,,,,,,,
Zambia,58,,,,,,,,
Zimbabwe,92,,,,,,,,
,,,,,,,,,
REGIONAL AVERAGES*,,,,,,,,,
Sub-Saharan Africa,66,,,,,,,,
     Eastern and Southern Africa,72,,,,,,,,
     West and Central Africa,57,,,,,,,,
Middle East and North Africa,90,,,,,,,,
South Asia,79,,,,,,,,
East Asia and Pacific,99,,,,,,,,
Latin America and Caribbean,98,,,,,,,,
CEE/CIS,100,,,,,,,,
Least developed countries,69,,,,,,,,
World,89,,,,,,,,
,,,,,,,,,
Definition: ,,,,,,,,,
Notes:,,,,,,,,,
,,,,,,,,,
Source: ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
